feature_a,feature_b,abs_corr
Idle Mean,Flow IAT Max,0.949119178048736
Flow IAT Max,Flow Duration,0.9485769712080201
Packet Length Std,Packet Length Mean,0.9482613844125471
Packet Length Variance,Packet Length Std,0.948127257883336
Idle Max,Flow Duration,0.9477655565854479
Average Packet Size,Packet Length Std,0.9474958083673508
Fwd IAT Std,Flow IAT Std,0.9470308399193718
Flow IAT Std,Flow IAT Mean,0.9468164804506211
Bwd Header Length,Fwd Header Length,0.9467196985872589
Fwd Header Length.1,Bwd Header Length,0.9467196985872589
Fwd IAT Max,Flow Duration,0.9459293766989052
Fwd IAT Total,Flow IAT Max,0.9454458081373847
Idle Max,Fwd IAT Total,0.9447747341003374
Total Backward Packets,Total Fwd Packets,0.944422860066148
Subflow Fwd Packets,Total Backward Packets,0.944422860066148
Subflow Bwd Packets,Total Fwd Packets,0.944422860066148
Subflow Bwd Packets,Subflow Fwd Packets,0.944422860066148
Avg Fwd Segment Size,Fwd Packet Length Max,0.9415935466601579
Fwd Packet Length Mean,Fwd Packet Length Max,0.9415935466601579
Idle Mean,Flow IAT Std,0.9404810107261902
Idle Mean,Fwd IAT Max,0.9393389469720218
Subflow Bwd Packets,Fwd Header Length.1,0.9377063601246483
Subflow Bwd Packets,Fwd Header Length,0.9377063601246483
Fwd Header Length.1,Total Backward Packets,0.9377063601246481
Fwd Header Length,Total Backward Packets,0.9377063601246481
Subflow Bwd Bytes,Bwd Header Length,0.9308468449460653
Bwd Header Length,Total Length of Bwd Packets,0.9308468449460653
Fwd IAT Std,Fwd IAT Total,0.9308210156948645
Flow IAT Std,Flow Duration,0.930500893022143
Packet Length Variance,Max Packet Length,0.9280693006222325
Bwd IAT Min,Fwd IAT Min,0.9266302791919058
Fwd IAT Std,Flow Duration,0.926388642464511
Fwd IAT Total,Flow IAT Std,0.9253468710757207
Fwd IAT Mean,Flow IAT Mean,0.923604081636063
Subflow Fwd Packets,Total Length of Bwd Packets,0.9202764175244151
Subflow Bwd Bytes,Total Fwd Packets,0.9202764175244151
Subflow Bwd Bytes,Subflow Fwd Packets,0.9202764175244151
Total Length of Bwd Packets,Total Fwd Packets,0.9202764175244151
Fwd Packet Length Std,Fwd Packet Length Mean,0.919588114301575
Avg Fwd Segment Size,Fwd Packet Length Std,0.9195881143015747
Idle Mean,Fwd IAT Std,0.9177428041212867
Subflow Fwd Packets,Bwd Header Length,0.9129226650011988
Bwd Header Length,Total Fwd Packets,0.9129226650011986
Subflow Bwd Bytes,Fwd Header Length.1,0.9077491013787922
Fwd Header Length.1,Total Length of Bwd Packets,0.9077491013787922
Fwd Header Length,Total Length of Bwd Packets,0.9077491013787922
Subflow Bwd Bytes,Fwd Header Length,0.9077491013787922
Idle Min,Idle Mean,0.9075685589367235
Active Min,Active Max,0.8986346446289079
Packet Length Mean,Max Packet Length,0.8974718445683929
Fwd IAT Mean,Flow IAT Std,0.8954714011194408
Idle Mean,Flow Duration,0.8940931885701908
Average Packet Size,Max Packet Length,0.8932895871184604
act_data_pkt_fwd,Subflow Fwd Packets,0.8906523372907448
act_data_pkt_fwd,Total Fwd Packets,0.8906523372907448
Idle Mean,Fwd IAT Total,0.8898080149358785
Bwd IAT Max,Bwd IAT Total,0.8889606526300563
Flow IAT Max,Flow IAT Mean,0.8861733062492707
Packet Length Std,Bwd Packet Length Std,0.882666872941209
Idle Max,Flow IAT Mean,0.882390621261504
Packet Length Std,Bwd Packet Length Max,0.8792699434556619
Subflow Fwd Bytes,Fwd Packet Length Mean,0.8764200398178462
Avg Fwd Segment Size,Total Length of Fwd Packets,0.8764200398178462
Fwd Packet Length Mean,Total Length of Fwd Packets,0.8764200398178462
Subflow Fwd Bytes,Avg Fwd Segment Size,0.8764200398178462
Fwd IAT Max,Flow IAT Mean,0.8750585497738824
Max Packet Length,Bwd Packet Length Max,0.8704971470620705
Bwd IAT Std,Bwd IAT Total,0.8691651115640846
Packet Length Variance,Bwd Packet Length Std,0.8682231117607662
Subflow Fwd Bytes,Fwd Packet Length Max,0.8677717110971876
Fwd Packet Length Max,Total Length of Fwd Packets,0.8677717110971876
Max Packet Length,Bwd Packet Length Std,0.8669500805296267
Avg Bwd Segment Size,Packet Length Mean,0.8636773908881881
Packet Length Mean,Bwd Packet Length Mean,0.8636773908881858
Avg Bwd Segment Size,Average Packet Size,0.8617220594800198
Average Packet Size,Bwd Packet Length Mean,0.8617220594800185
Fwd IAT Max,Fwd IAT Mean,0.8573994452467829
Fwd Packet Length Std,Total Length of Fwd Packets,0.856695440533079
Subflow Fwd Bytes,Fwd Packet Length Std,0.8566954405330789
Packet Length Std,Bwd Packet Length Mean,0.8547196218935481
Avg Bwd Segment Size,Packet Length Std,0.8547196218935452
Flow IAT Mean,Flow Duration,0.8502005939594086
act_data_pkt_fwd,Total Backward Packets,0.8496878624253765
act_data_pkt_fwd,Subflow Bwd Packets,0.8496878624253765
Fwd IAT Mean,Flow IAT Max,0.8486777983095035
Packet Length Variance,Bwd Packet Length Max,0.8481746712832834
Idle Mean,Flow IAT Mean,0.847992044383583
Idle Max,Fwd IAT Mean,0.846426120423684
Fwd IAT Total,Flow IAT Mean,0.843875564032879
Average Packet Size,Packet Length Variance,0.8438315652665653
Packet Length Variance,Packet Length Mean,0.837895469947512
Fwd IAT Std,Flow IAT Mean,0.8345328675936963
act_data_pkt_fwd,Subflow Bwd Bytes,0.8338900017612152
act_data_pkt_fwd,Total Length of Bwd Packets,0.8338900017612152
Bwd IAT Min,Bwd IAT Mean,0.8300897954628884
Packet Length Mean,Bwd Packet Length Max,0.823615713653138
Fwd IAT Mean,Fwd IAT Total,0.823056986076909
Average Packet Size,Bwd Packet Length Max,0.8230564860808955
Max Packet Length,Bwd Packet Length Mean,0.8230104957921553
Avg Bwd Segment Size,Max Packet Length,0.823010495792154
Fwd IAT Std,Fwd IAT Mean,0.8194858537512332
Fwd IAT Mean,Flow Duration,0.8183677230816928
Average Packet Size,Bwd Packet Length Std,0.8145344315769798
Packet Length Mean,Bwd Packet Length Std,0.8136835123786744
Idle Mean,Fwd IAT Mean,0.8098241722770843
Average Packet Size,PSH Flag Count,0.7952637595950377
act_data_pkt_fwd,Fwd Header Length.1,0.7927655174300133
act_data_pkt_fwd,Fwd Header Length,0.7927655174300133
ACK Flag Count,PSH Flag Count,0.7925856617512108
PSH Flag Count,Packet Length Mean,0.7883770740740169
URG Flag Count,Destination Port,0.777693409152006
Packet Length Variance,Bwd Packet Length Mean,0.7705327178125138
Avg Bwd Segment Size,Packet Length Variance,0.7705327178125101
Bwd IAT Mean,Fwd IAT Min,0.7695537620511838
act_data_pkt_fwd,Bwd Header Length,0.736622631677928
Idle Min,Flow IAT Std,0.7362366044715736
Idle Min,Idle Max,0.7338207789689561
Idle Min,Flow IAT Max,0.7316557737312002
Idle Min,Active Min,0.7168861889849691
Idle Min,Fwd IAT Max,0.716240524209357
Idle Min,Active Mean,0.7103031040483435
SYN Flag Count,Fwd Packet Length Min,0.7069892379972472
Fwd PSH Flags,Fwd Packet Length Min,0.7069892379972472
Min Packet Length,Bwd Packet Length Min,0.7055549331605071
Bwd IAT Mean,Fwd IAT Mean,0.705528578448595
Down/Up Ratio,URG Flag Count,0.6980517438613325
Idle Min,Fwd IAT Std,0.6952539798697385
Avg Fwd Segment Size,Destination Port,0.6949103312354087
Fwd Packet Length Mean,Destination Port,0.6949103312354087
Idle Std,Fwd IAT Max,0.6884044913985345
Idle Std,Fwd IAT Std,0.6823747412049979
Idle Max,Idle Std,0.6787130466209953
Idle Std,Flow IAT Max,0.6783813388042274
Idle Min,Flow Duration,0.6780538768540634
Bwd IAT Max,Bwd IAT Mean,0.6772173288019172
Init_Win_bytes_forward,PSH Flag Count,0.675730074315661
Idle Min,Fwd IAT Total,0.6726858499473102
Bwd IAT Std,Fwd Packet Length Mean,0.6706673829148301
Avg Fwd Segment Size,Bwd IAT Std,0.6706673829148301
PSH Flag Count,Packet Length Std,0.6665988259830723
Idle Min,Flow IAT Mean,0.6663352002064574
Idle Std,Fwd IAT Total,0.6622551474245475
Bwd IAT Std,Fwd Packet Length Max,0.6619913325507366
Bwd IAT Max,Fwd Packet Length Mean,0.6610694342710332
Avg Fwd Segment Size,Bwd IAT Max,0.6610694342710332
Idle Std,Flow Duration,0.6608594499983388
Bwd IAT Max,Fwd Packet Length Max,0.6571599155478367
Bwd IAT Std,Fwd Packet Length Std,0.6516786261098964
Idle Min,Active Max,0.6515563345401998
Bwd IAT Max,Fwd Packet Length Std,0.6479637115298963
Idle Std,Flow IAT Std,0.6478923582741656
Bwd IAT Std,Total Length of Fwd Packets,0.6425980798403863
Subflow Fwd Bytes,Bwd IAT Std,0.6425980798403862
Subflow Fwd Bytes,Bwd IAT Max,0.6425369731505042
Bwd IAT Max,Total Length of Fwd Packets,0.6425369731505042
Fwd Packet Length Max,Destination Port,0.6392319632035584
Bwd IAT Mean,Bwd IAT Total,0.633963239579903
Idle Min,Fwd IAT Mean,0.6312045892461298
Idle Mean,Active Min,0.6229902640392228
Fwd Packet Length Std,Destination Port,0.6181450009356446
Idle Mean,Active Mean,0.6173418350959378
Avg Bwd Segment Size,PSH Flag Count,0.6162267941070038
PSH Flag Count,Bwd Packet Length Mean,0.6162267941069991
Bwd IAT Max,Fwd IAT Mean,0.6080234127147572
PSH Flag Count,Packet Length Variance,0.6064898837850913
Subflow Fwd Bytes,Destination Port,0.6029537489124268
Total Length of Fwd Packets,Destination Port,0.6029537489124268
Subflow Fwd Bytes,Bwd IAT Total,0.5907333354314352
Bwd IAT Total,Total Length of Fwd Packets,0.5907333354314352
PSH Flag Count,Bwd Packet Length Max,0.5845348103061987
Idle Std,Flow IAT Mean,0.5785345253631161
Bwd IAT Total,Flow Duration,0.5780318054717898
URG Flag Count,Bwd IAT Std,0.5775149527866819
Bwd IAT Std,Fwd IAT Std,0.5759152837517897
PSH Flag Count,Max Packet Length,0.5746755479122557
Average Packet Size,ACK Flag Count,0.5741859515198318
Bwd IAT Total,Fwd IAT Total,0.5717018476278931
Bwd IAT Max,Fwd IAT Std,0.5705563525694584
Bwd IAT Total,Fwd Packet Length Max,0.5689938120587702
PSH Flag Count,Bwd Packet Length Std,0.5674868975648087
Idle Mean,Active Max,0.5654774193030574
Idle Std,Fwd IAT Mean,0.5635616762628658
ACK Flag Count,Packet Length Mean,0.5625494845075484
Bwd IAT Total,Fwd Packet Length Mean,0.5593452381217578
Avg Fwd Segment Size,Bwd IAT Total,0.5593452381217577
Bwd IAT Total,Fwd Packet Length Std,0.5554741713057708
Bwd IAT Std,Destination Port,0.5548343316315405
Fwd IAT Min,Fwd IAT Mean,0.543065755061691
Bwd IAT Total,Fwd IAT Mean,0.5399684672739101
URG Flag Count,Bwd IAT Max,0.5392678359405116
Bwd IAT Std,Bwd IAT Mean,0.530750796228351
Bwd IAT Max,Destination Port,0.5258838364388806
Bwd IAT Max,Fwd IAT Max,0.5253097027348838
Bwd IAT Min,Fwd IAT Mean,0.5144838974334133
Bwd IAT Mean,Flow IAT Mean,0.5140325890573181
Bwd IAT Std,Fwd IAT Mean,0.5096787533609807
Idle Max,Bwd IAT Max,0.5093977346243392
Bwd IAT Max,Flow IAT Max,0.509352356436907
Bwd IAT Max,Flow Duration,0.5071144405778388
Bwd IAT Std,Fwd IAT Max,0.5041181747780019
Bwd IAT Max,Fwd IAT Total,0.4997718208082008
ACK Flag Count,Flow IAT Mean,0.4958669833565356
Bwd IAT Std,Flow Duration,0.49423554208094367
Bwd IAT Std,Flow IAT Max,0.49238755808719575
Idle Max,Bwd IAT Std,0.49234145693206477
Init_Win_bytes_forward,ACK Flag Count,0.4920676232360302
Bwd IAT Total,Fwd IAT Std,0.49146445033276254
Idle Mean,Bwd IAT Max,0.49089776388673473
Bwd IAT Std,Fwd IAT Total,0.4823129879441593
Idle Max,Active Min,0.48143525714428503
Active Min,Flow IAT Max,0.48070833884764524
ACK Flag Count,Flow IAT Std,0.4791358522912377
Bwd IAT Max,Flow IAT Std,0.4774357212987174
Idle Max,Active Mean,0.47719302363879973
Active Min,Fwd IAT Max,0.4766934491309812
Active Mean,Flow IAT Max,0.4763588804614611
Active Mean,Fwd IAT Max,0.47245856728730645
Down/Up Ratio,Destination Port,0.471872118245554
Idle Mean,Bwd IAT Std,0.46968076813964127
Active Min,Fwd IAT Std,0.46841242291731044
Active Mean,Fwd IAT Std,0.4626557862195625
Active Max,Flow Duration,0.4593110265715141
Active Max,Fwd IAT Total,0.45925969200196387
Active Min,Flow IAT Std,0.45644017927659686
Bwd IAT Total,Fwd IAT Max,0.4532563277479397
Active Mean,Fwd IAT Total,0.4512842076259786
Active Mean,Flow Duration,0.45107059346677447
Active Mean,Flow IAT Std,0.45061739044360694
ACK Flag Count,Fwd IAT Std,0.44418924713648633
Bwd IAT Std,Flow IAT Std,0.4440730734010303
URG Flag Count,Fwd Packet Length Mean,0.4437406203672155
Avg Fwd Segment Size,URG Flag Count,0.4437406203672155
Active Min,Fwd IAT Total,0.4418462997085733
Active Min,Flow Duration,0.44153905443689495
ACK Flag Count,Packet Length Std,0.4410015903967675
Idle Max,Bwd IAT Total,0.4380284725849087
ACK Flag Count,Flow IAT Max,0.43789454052184823
Bwd IAT Total,Flow IAT Max,0.4369007703054461
Idle Max,Active Max,0.43630305457236485
URG Flag Count,Bwd IAT Total,0.43553303320795517
Active Max,Flow IAT Max,0.43514557067730814
Packet Length Std,Min Packet Length,0.4346727993616643
Avg Bwd Segment Size,ACK Flag Count,0.4340639992174574
ACK Flag Count,Bwd Packet Length Mean,0.43406399921745387
Idle Max,ACK Flag Count,0.43372157269912004
Active Max,Fwd IAT Max,0.43194346850888443
Packet Length Mean,Min Packet Length,0.43063763345338996
Max Packet Length,Min Packet Length,0.4283219332810676
Bwd IAT Total,Destination Port,0.42420502126430465
Idle Mean,Bwd IAT Total,0.4238940209584826
ACK Flag Count,Fwd IAT Max,0.4223064884543708
Active Max,Fwd IAT Std,0.42133880375675875
Bwd IAT Max,Flow IAT Mean,0.4208251038794428
Average Packet Size,Min Packet Length,0.4205304025804891
Idle Std,Idle Mean,0.4191240089400353
Idle Mean,ACK Flag Count,0.41897282704397076
ACK Flag Count,Packet Length Variance,0.4183971667948754
min_seg_size_forward,Min Packet Length,0.4179558480955934
PSH Flag Count,Flow IAT Mean,0.41634523415846625
Init_Win_bytes_forward,Average Packet Size,0.41555303197681714
Bwd IAT Mean,Flow IAT Std,0.4143748148489381
Init_Win_bytes_forward,Packet Length Mean,0.4135271463817667
Active Max,Flow IAT Std,0.41022463284918154
Active Max,Active Std,0.40944318632896337
Bwd IAT Total,Flow IAT Std,0.4092241043263067
ACK Flag Count,Bwd Packet Length Max,0.40317610915675006
Fwd IAT Min,Flow IAT Mean,0.40166024916136167
PSH Flag Count,Flow IAT Std,0.39257208250257397
URG Flag Count,ACK Flag Count,0.3900478467207661
Fwd IAT Std,Fwd Packet Length Std,0.38773643365781346
Idle Min,Bwd IAT Max,0.38772850837735084
ACK Flag Count,Bwd Packet Length Std,0.3862345607575014
Fwd IAT Std,Fwd Packet Length Max,0.38400692859712654
Avg Bwd Segment Size,Destination Port,0.38268626699359254
Bwd Packet Length Mean,Destination Port,0.3826862669935917
ACK Flag Count,Flow Duration,0.3817138938934051
Down/Up Ratio,Fwd Packet Length Min,0.3805670090672338
Active Min,Flow IAT Mean,0.37806884251664213
Bwd IAT Total,Flow IAT Mean,0.3764573345265677
Bwd IAT Min,Flow IAT Mean,0.3750570176331204
Avg Bwd Segment Size,Min Packet Length,0.3748669668910382
Min Packet Length,Bwd Packet Length Mean,0.374866966891036
Active Mean,Flow IAT Mean,0.37303722115635424
ACK Flag Count,Fwd IAT Total,0.36955336149724954
URG Flag Count,Fwd Packet Length Max,0.36893660929754085
Min Packet Length,Bwd Packet Length Max,0.3689271288169552
Active Min,Fwd IAT Mean,0.36709118300367205
Min Packet Length,Bwd Packet Length Std,0.3657428420639408
Idle Min,Bwd IAT Std,0.36407069236985107
Active Mean,Fwd IAT Mean,0.3628142450696216
Avg Fwd Segment Size,Fwd IAT Std,0.36273955930503926
Fwd IAT Std,Fwd Packet Length Mean,0.36273955930503915
Subflow Fwd Bytes,Fwd IAT Std,0.3620006633595147
Fwd IAT Std,Total Length of Fwd Packets,0.3620006633595147
PSH Flag Count,Min Packet Length,0.36136981578550753
Bwd IAT Mean,Flow Duration,0.36058687503132175
min_seg_size_forward,Bwd Packet Length Min,0.3598786022607868
Bwd IAT Std,Flow IAT Mean,0.3583055186333329
Bwd Packet Length Max,Destination Port,0.356879867128643
ACK Flag Count,Max Packet Length,0.3560939759384653
PSH Flag Count,Fwd IAT Std,0.3542899667184247
Avg Bwd Segment Size,URG Flag Count,0.35357625938171927
URG Flag Count,Bwd Packet Length Mean,0.3535762593817178
Idle Max,PSH Flag Count,0.3533993623078995
ACK Flag Count,Fwd IAT Mean,0.35259486651534266
Packet Length Variance,Min Packet Length,0.352573614448135
Bwd IAT Mean,Fwd IAT Total,0.35251637009216324
PSH Flag Count,Flow IAT Max,0.3522465414275926
Fwd IAT Mean,Fwd Packet Length Std,0.3515036961948668
Idle Mean,Bwd IAT Mean,0.3478263375348254
Fwd IAT Mean,Fwd Packet Length Max,0.3473977946424585
Bwd Packet Length Std,Destination Port,0.345303138599158
PSH Flag Count,Fwd IAT Max,0.34301732941847085
Bwd IAT Mean,Fwd IAT Max,0.34231006674670783
Active Max,Flow IAT Mean,0.3422749321599604
Idle Mean,PSH Flag Count,0.3421161572924142
Subflow Fwd Bytes,URG Flag Count,0.34136282867891826
URG Flag Count,Total Length of Fwd Packets,0.34136282867891826
URG Flag Count,Fwd Packet Length Std,0.34042179131251266
Idle Max,Bwd IAT Mean,0.3397364795072469
Bwd IAT Mean,Flow IAT Max,0.33957683589552423
Bwd IAT Mean,Fwd Packet Length Mean,0.33945038741825573
Avg Fwd Segment Size,Bwd IAT Mean,0.33945038741825573
Idle Min,Bwd IAT Total,0.33571721117733666
Active Max,Fwd IAT Mean,0.334430337312926
Max Packet Length,Fwd IAT Max,0.33433677452163924
Bwd IAT Mean,Fwd Packet Length Max,0.33427771469660766
Init_Win_bytes_forward,Packet Length Std,0.3340900114649677
Idle Min,ACK Flag Count,0.3325782854773357
Idle Std,Bwd IAT Std,0.3309332800000596
Idle Std,Bwd IAT Max,0.3303657618842449
URG Flag Count,Bwd Packet Length Max,0.3296265649229338
Avg Fwd Segment Size,Fwd PSH Flags,0.327884613020384
Avg Fwd Segment Size,SYN Flag Count,0.327884613020384
Fwd PSH Flags,Fwd Packet Length Mean,0.32788461302038396
SYN Flag Count,Fwd Packet Length Mean,0.32788461302038396
Bwd IAT Mean,Fwd Packet Length Std,0.32729463292591443
Idle Max,Max Packet Length,0.32719329080458065
Max Packet Length,Flow IAT Max,0.3255146036330122
Bwd IAT Mean,Total Length of Fwd Packets,0.3252407570243383
Subflow Fwd Bytes,Bwd IAT Mean,0.3252407570243383
Max Packet Length,Fwd IAT Std,0.32511825900784513
Avg Fwd Segment Size,Fwd IAT Mean,0.3244815819465761
Fwd IAT Mean,Fwd Packet Length Mean,0.3244815819465761
Fwd IAT Max,Fwd Packet Length Std,0.32077945157907306
URG Flag Count,Bwd Packet Length Std,0.31900311211483934
Fwd IAT Max,Fwd Packet Length Max,0.31882381130208653
Subflow Fwd Bytes,Fwd IAT Mean,0.318219458079289
Fwd IAT Mean,Total Length of Fwd Packets,0.318219458079289
PSH Flag Count,Fwd IAT Mean,0.3155490846031618
URG Flag Count,PSH Flag Count,0.3154357474716859
Fwd IAT Max,Total Length of Fwd Packets,0.3120081736641866
Subflow Fwd Bytes,Fwd IAT Max,0.3120081736641866
Bwd Packets/s,Flow Packets/s,0.30537946639258834
Subflow Fwd Bytes,Fwd IAT Total,0.30498772882413494
Fwd IAT Total,Total Length of Fwd Packets,0.30498772882413494
Max Packet Length,Fwd IAT Total,0.30454504736807114
Idle Min,Bwd IAT Mean,0.30320949242823453
Fwd Packets/s,Flow Bytes/s,0.3030437986426712
Fwd IAT Max,Fwd Packet Length Mean,0.30178503019682995
Avg Fwd Segment Size,Fwd IAT Max,0.3017850301968299
Total Length of Fwd Packets,Flow Duration,0.30067821898750197
Subflow Fwd Bytes,Flow Duration,0.30067821898750197
Init_Win_bytes_forward,Avg Bwd Segment Size,0.2995847840881506
Init_Win_bytes_forward,Bwd Packet Length Mean,0.29958478408814776
Max Packet Length,Flow Duration,0.297965834210486
Init_Win_bytes_forward,Packet Length Variance,0.29765214998779843
URG Flag Count,Fwd Packet Length Min,0.2973972896649152
Max Packet Length,Fwd Packet Length Std,0.2962641383952547
URG Flag Count,Bwd IAT Mean,0.2960193408635127
Bwd IAT Mean,Fwd IAT Std,0.2949818786132232
Flow Packets/s,Flow Bytes/s,0.2941652096943218
Idle Max,Fwd Packet Length Max,0.29384222186196257
Idle Max,Fwd Packet Length Std,0.29343933707194564
Flow IAT Max,Fwd Packet Length Max,0.29342943006919475
Flow IAT Max,Fwd Packet Length Std,0.29301481990625927
PSH Flag Count,Flow Duration,0.292565462776949
Fwd IAT Total,Fwd Packet Length Max,0.2881882786355467
Idle Mean,Max Packet Length,0.288101715972925
Max Packet Length,Fwd Packet Length Max,0.2872938074114984
Flow IAT Max,Total Length of Fwd Packets,0.2866666249386719
Subflow Fwd Bytes,Flow IAT Max,0.2866666249386719
Idle Max,Subflow Fwd Bytes,0.28661412220189597
Idle Max,Total Length of Fwd Packets,0.28661412220189597
PSH Flag Count,Fwd IAT Total,0.286271744185118
Fwd IAT Total,Fwd Packet Length Std,0.2861965388961127
URG Flag Count,Fwd PSH Flags,0.28541017724959317
URG Flag Count,SYN Flag Count,0.28541017724959317
ACK Flag Count,Destination Port,0.28466612215106574
Fwd Packet Length Max,Flow Duration,0.28424534794787776
Idle Max,Avg Fwd Segment Size,0.28344450313649316
Idle Max,Fwd Packet Length Mean,0.28344450313649316
Init_Win_bytes_forward,Max Packet Length,0.28330018326072554
Init_Win_bytes_forward,Bwd Packet Length Max,0.28321783396188605
Avg Fwd Segment Size,Flow IAT Max,0.28305177739490095
Flow IAT Max,Fwd Packet Length Mean,0.2830517773949009
Fwd PSH Flags,Destination Port,0.28158334970312826
SYN Flag Count,Destination Port,0.28158334970312826
Init_Win_bytes_forward,Flow IAT Mean,0.2801557012065628
Fwd Packet Length Std,Flow Duration,0.2799966839773577
Idle Std,Bwd IAT Total,0.2799122680239827
Idle Std,ACK Flag Count,0.27922826077153495
Init_Win_bytes_forward,Flow IAT Std,0.2783350415385957
Bwd IAT Mean,Destination Port,0.2775187836660029
Fwd Packet Length Mean,Fwd Packet Length Min,0.27741732900933996
Avg Fwd Segment Size,Fwd Packet Length Min,0.27741732900933996
Idle Std,Max Packet Length,0.2773683771712073
Init_Win_bytes_forward,Min Packet Length,0.27353779052309335
Idle Min,PSH Flag Count,0.2727664484150588
Max Packet Length,Flow IAT Std,0.2708950087474025
Idle Mean,Fwd Packet Length Max,0.26845491276951516
Init_Win_bytes_forward,Bwd Packet Length Std,0.26843676894673
Avg Bwd Segment Size,Avg Fwd Segment Size,0.26745642725185603
Avg Bwd Segment Size,Fwd Packet Length Mean,0.26745642725185603
Bwd Packet Length Mean,Fwd Packet Length Mean,0.2674564272518549
Avg Fwd Segment Size,Bwd Packet Length Mean,0.2674564272518549
Idle Mean,Fwd Packet Length Std,0.26713871837221076
Fwd Packet Length Mean,Flow Duration,0.2655497166439469
Avg Fwd Segment Size,Flow Duration,0.2655497166439469
Fwd IAT Total,Fwd Packet Length Mean,0.26359813908869467
Avg Fwd Segment Size,Fwd IAT Total,0.26359813908869467
Idle Mean,Subflow Fwd Bytes,0.2625389707650281
Idle Mean,Total Length of Fwd Packets,0.2625389707650281
Active Max,Bwd IAT Total,0.2613335717689456
Idle Mean,Fwd Packet Length Mean,0.25906312229895395
Idle Mean,Avg Fwd Segment Size,0.25906312229895395
min_seg_size_forward,Packet Length Std,0.2556903414863512
Down/Up Ratio,Fwd IAT Total,0.2536486185886893
min_seg_size_forward,Packet Length Mean,0.25131068939518125
Flow IAT Std,Fwd Packet Length Max,0.250530300513011
Flow IAT Std,Fwd Packet Length Std,0.2504228815050418
Idle Max,Init_Win_bytes_forward,0.2500819352127086
Init_Win_bytes_forward,Fwd IAT Std,0.2497856912561569
min_seg_size_forward,Max Packet Length,0.24965823384427507
Bwd Packet Length Max,Fwd Packet Length Mean,0.2493351609039603
Avg Fwd Segment Size,Bwd Packet Length Max,0.24933516090396024
Down/Up Ratio,Fwd IAT Max,0.24809882511470643
Down/Up Ratio,Fwd IAT Std,0.247732662240679
min_seg_size_forward,Average Packet Size,0.24759595235180779
ACK Flag Count,Bwd Packet Length Min,0.2469593561867658
Packet Length Std,Fwd Packet Length Std,0.24674500265621865
Init_Win_bytes_forward,Flow IAT Max,0.2457728802040739
Down/Up Ratio,SYN Flag Count,0.24276466094799742
Down/Up Ratio,Fwd PSH Flags,0.24276466094799742
Bwd Packet Length Std,Fwd Packet Length Mean,0.2419191042009426
Avg Fwd Segment Size,Bwd Packet Length Std,0.2419191042009425
Flow IAT Std,Fwd Packet Length Mean,0.24159507528608518
Avg Fwd Segment Size,Flow IAT Std,0.24159507528608512
Flow IAT Std,Total Length of Fwd Packets,0.23848260811701025
Subflow Fwd Bytes,Flow IAT Std,0.2384826081170102
